"","V162034a","V161006","V161086","V161087","V162255","V161019","V162146","V161235","V161126","V161158x","V161176","V161196","V161215","V161221","V161231","V161243","V161008","V161195","V161370","V161393","V161451","V161373","V161376","V161385","V161389","V161245","V161309","V161310a","V161310b","V161181","V161184","V161201","V161178"
"39","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",100,85,"2. Not a Muslim","4. None or 'independent'","1. Favor","3. About the same","4. Moderate, middle of the road","3. Independent-Democrat","4. A little","1. Favor","2. Most of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","1. Yes","0. Not selected","0. Not selected",99,3,99,4
"40","1. Hillary Clinton","1. Barack Obama",60,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","2. Not very strong Democract","3. A moderate amount","2. Oppose","5. Never","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","0. Not selected","1. Selected",3,2,4,5
"41","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","2. Mitt Romney",30,80,"1. Muslim","4. None or 'independent'","1. Favor","2. Worse","6. Conservative","5. Independent-Republican","3. A moderate amount","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","2. Almost every week","2. No","1. Selected","0. Not selected",5,6,4,4
"42","2. Donald Trump","2. Mitt Romney",0,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","5. Slightly conservative","7. Strong Republican","2. A lot","3. Neither favor nor oppose","3. About half the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",99,5,99,4
"43","1. Hillary Clinton","1. Barack Obama",100,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","1. Extremely liberal","1. Strong Democrat","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","0. Not selected","1. Selected",99,99,1,1
"44","2. Donald Trump","2. Mitt Romney",0,100,"1. Muslim","2. Republican party","1. Favor","3. About the same","6. Conservative","7. Strong Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",7,7,6,1
"45","2. Donald Trump","2. Mitt Romney",0,70,"2. Not a Muslim","5. Other SPECIFY","3. Neither favor nor oppose","2. Worse","4. Moderate, middle of the road","5. Independent-Republican","5. Not at all","1. Favor","5. Never","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",1,5,4,2
"46","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","2. Not very strong Democract","2. A lot","2. Oppose","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",4,4,2,3
"47","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",60,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","6. Conservative","4. Independent","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","1. Yes","-8. Don't know race (FTF only)","-8. Don't know race (FTF only)",4,1,3,6
"48","2. Donald Trump","1. Barack Obama",0,70,"1. Muslim","1. Democratic party","1. Favor","2. Worse","4. Moderate, middle of the road","5. Independent-Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","4. Four days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",5,2,3,4
"49","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",60,40,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-8. Don't know","1. Better","2. Liberal","1. Strong Democrat","1. A great deal","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",-9,2,1,6
"50","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",70,40,"-6. No post-election interview","1. Democratic party","-6. No post-election interview","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Not very strong Democract","1. A great deal","1. Favor","3. About half the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","3. The Bible is a book written by men and is not the word of God.","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","1. Selected","0. Not selected","4. A few times a year","2. No","0. Not selected","1. Selected",5,99,3,99
"51","-6. Unit nonresponse, no Post-Election interview","-1. Inap, 2,-8,-9 in V161005",50,0,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","3. About the same","4. Moderate, middle of the road","3. Independent-Democrat","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","0. None","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","4. A few times a year","2. No","1. Selected","0. Not selected",5,5,99,99
"52","1. Hillary Clinton","1. Barack Obama",70,30,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","2. Liberal","1. Strong Democrat","4. A little","1. Favor","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",5,4,4,5
"53","-6. Unit nonresponse, no Post-Election interview","2. Mitt Romney",0,85,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","3. About the same","5. Slightly conservative","6. Not very strong Republican","2. A lot","3. Neither favor nor oppose","5. Never","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,7,6,1
"54","2. Donald Trump","2. Mitt Romney",15,85,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","6. Conservative","6. Not very strong Republican","2. A lot","1. Favor","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",5,6,5,2
"55","1. Hillary Clinton","1. Barack Obama",85,15,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","1. Strong Democrat","1. A great deal","2. Oppose","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","1. Selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,2,2,4
"56","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",70,30,"-8. Don't know","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","3. Independent-Democrat","1. A great deal","1. Favor","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","2. Two days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","0. Not selected","1. Selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,5,1,5
"57","1. Hillary Clinton","-1. Inap, 2,-8,-9 in V161005",-99,-99,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","5. Independent-Republican","3. A moderate amount","2. Oppose","5. Never","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","3. Once or twice a month","1. Yes","1. Selected","0. Not selected",5,4,3,3
